date,tavg_predicted,tavg
2022-01-01,8.933698,17.1
2022-01-02,9.329826,15.8
2022-01-03,10.311688,15.7
2022-01-04,9.144156,14.8
2022-01-05,8.405838,13.7
2022-01-06,11.392501,12.4
2022-01-07,11.633321,12.4
2022-01-08,9.249648,13.3
2022-01-09,9.76728,14.0
2022-01-10,9.09336,11.8
2022-01-11,9.425829,12.6
2022-01-12,9.900931,13.0
2022-01-13,9.685803,14.1
2022-01-14,9.573465,14.5
2022-01-15,9.798341,14.1
2022-01-16,9.54427,14.0
2022-01-17,8.970027,12.8
2022-01-18,8.894675,13.7
2022-01-19,9.980287,14.3
2022-01-20,9.118036,13.6
2022-01-21,10.8395815,14.8
2022-01-22,10.465903,19.4
2022-01-23,9.049191,17.3
2022-01-24,10.164029,14.6
2022-01-25,10.307161,13.8
2022-01-26,10.077713,12.4
2022-01-27,9.078221,13.9
2022-01-28,10.082715,16.7
2022-01-29,11.870455,18.1
2022-01-30,10.001414,17.5
2022-01-31,9.647941,19.8
2022-02-01,10.17039,17.1
2022-02-02,10.400198,16.7
2022-02-03,10.708855,18.3
2022-02-04,10.908374,18.8
2022-02-05,10.369454,18.0
2022-02-06,9.934182,18.2
2022-02-07,11.325419,18.9
2022-02-08,9.863589,19.7
2022-02-09,10.604497,19.3
2022-02-10,11.358808,19.2
2022-02-11,10.878066,14.6
2022-02-12,11.130964,14.7
2022-02-13,10.969556,15.6
2022-02-14,12.695678,14.9
2022-02-15,10.101944,14.4
2022-02-16,10.801608,15.8
2022-02-17,13.375306,16.6
2022-02-18,12.444978,14.8
2022-02-19,11.602495,13.3
2022-02-20,10.981593,14.9
2022-02-21,10.368723,17.4
2022-02-22,10.2591715,19.7
2022-02-23,10.404119,21.9
2022-02-24,10.643835,18.0
2022-02-25,13.438773,18.9
2022-02-26,14.261195,15.1
2022-02-27,11.683169,15.1
2022-02-28,12.797452,18.0
2022-03-01,10.830309,18.3
2022-03-02,11.658521,15.7
2022-03-03,12.448678,15.2
2022-03-04,12.950529,13.5
2022-03-05,12.117587,12.9
2022-03-06,15.244494,10.7
2022-03-07,13.920406,12.3
2022-03-08,16.310524,14.4
2022-03-09,10.696416,16.3
2022-03-10,15.401107,15.6
2022-03-11,11.296954,15.9
2022-03-12,12.251397,15.7
2022-03-13,12.051293,16.6
2022-03-14,11.42945,11.1
2022-03-15,12.597169,10.9
2022-03-16,14.784564,11.7
2022-03-17,12.74543,13.7
2022-03-18,14.831031,15.8
2022-03-19,12.415652,17.7
2022-03-20,14.482116,15.4
2022-03-21,13.673987,16.2
2022-03-22,14.328012,16.1
2022-03-23,11.449026,12.7
2022-03-24,16.350836,11.8
2022-03-25,12.865122,13.7
2022-03-26,16.073595,15.9
2022-03-27,13.042597,18.2
2022-03-28,12.971569,19.4
2022-03-29,16.156645,16.8
2022-03-30,16.403963,14.4
2022-03-31,15.476703,15.6
2022-04-01,17.463028,17.6
2022-04-02,12.332883,18.9
2022-04-03,15.4519,15.6
2022-04-04,12.8880825,13.3
2022-04-05,11.000289,12.0
2022-04-06,10.72264,14.7
2022-04-07,14.216298,16.6
